"Site","Year","nsurveys"
"Arboretum",2005,79
"Arboretum",2006,120
"Arboretum",2007,119
"Arboretum",2008,110
"Arboretum",2009,120
"Arboretum",2010,110
"Arboretum",2011,50
"Arboretum",2013,120
"Carkeek Park",1997,198
"Carkeek Park",1998,206
"Carkeek Park",1999,171
"Carkeek Park",2000,185
"Carkeek Park",2001,138
"Carkeek Park",2002,173
"Carkeek Park",2003,134
"Carkeek Park",2004,142
"Carkeek Park",2005,165
"Carkeek Park",2006,189
"Carkeek Park",2007,174
"Carkeek Park",2008,163
"Carkeek Park",2009,173
"Carkeek Park",2010,193
"Carkeek Park",2011,157
"Carkeek Park",2012,43
"Carkeek Park",2013,118
"Carkeek Park",2014,28
"Discovery Park",2003,134
"Discovery Park",2004,578
"Discovery Park",2005,678
"Discovery Park",2006,828
"Discovery Park",2007,697
"Discovery Park",2008,879
"Discovery Park",2009,778
"Discovery Park",2010,871
"Discovery Park",2011,1027
"Discovery Park",2012,511
"Discovery Park",2013,958
"Discovery Park",2014,167
"Genesee",1997,98
"Genesee",1998,94
"Genesee",1999,82
"Genesee",2000,81
"Genesee",2001,82
"Genesee",2002,82
"Genesee",2003,81
"Genesee",2004,60
"Genesee",2005,80
"Genesee",2006,75
"Genesee",2007,81
"Genesee",2008,84
"Genesee",2009,81
"Genesee",2010,54
"Genesee",2011,70
"Genesee",2012,83
"Genesee",2013,88
"Genesee",2014,20
"Golden Gardens",2000,18
"Golden Gardens",2001,66
"Golden Gardens",2002,60
"Golden Gardens",2003,71
"Golden Gardens",2004,72
"Golden Gardens",2005,72
"Golden Gardens",2006,72
"Golden Gardens",2007,71
"Golden Gardens",2008,72
"Golden Gardens",2009,71
"Golden Gardens",2010,72
"Golden Gardens",2011,72
"Golden Gardens",2012,12
"Golden Gardens",2013,78
"Golden Gardens",2014,12
"Lake Forest Park",1997,26
"Lake Forest Park",1998,28
"Lake Forest Park",1999,24
"Lake Forest Park",2000,23
"Lake Forest Park",2001,24
"Lake Forest Park",2002,23
"Lake Forest Park",2003,23
"Lake Forest Park",2004,23
"Lake Forest Park",2005,24
"Lake Forest Park",2006,24
"Lake Forest Park",2007,24
"Lake Forest Park",2008,24
"Lake Forest Park",2009,22
"Lake Forest Park",2010,24
"Lake Forest Park",2011,16
"Lake Forest Park",2012,10
"Lake Forest Park",2013,18
"Lake Forest Park",2014,8
"Magnuson",1996,7
"Magnuson",1997,338
"Magnuson",1998,292
"Magnuson",1999,265
"Magnuson",2000,280
"Magnuson",2001,276
"Magnuson",2002,261
"Magnuson",2003,281
"Magnuson",2004,269
"Magnuson",2005,263
"Magnuson",2006,261
"Magnuson",2007,274
"Magnuson",2008,242
"Magnuson",2009,236
"Magnuson",2010,324
"Magnuson",2011,165
"Magnuson",2012,119
"Magnuson",2013,160
"Magnuson",2014,83
"Seward Park",2004,24
"Seward Park",2005,187
"Seward Park",2006,182
"Seward Park",2007,166
"Seward Park",2008,82
"Seward Park",2009,111
"Seward Park",2010,111
"Seward Park",2011,136
"Seward Park",2012,80
"Seward Park",2013,192
