"Site","Month","nsurveys"
"Arboretum",1,70
"Arboretum",2,70
"Arboretum",3,70
"Arboretum",4,70
"Arboretum",5,80
"Arboretum",6,70
"Arboretum",7,70
"Arboretum",8,69
"Arboretum",9,70
"Arboretum",10,70
"Arboretum",11,70
"Arboretum",12,49
"Carkeek Park",1,194
"Carkeek Park",2,238
"Carkeek Park",3,225
"Carkeek Park",4,242
"Carkeek Park",5,267
"Carkeek Park",6,244
"Carkeek Park",7,254
"Carkeek Park",8,214
"Carkeek Park",9,229
"Carkeek Park",10,205
"Carkeek Park",11,223
"Carkeek Park",12,215
"Discovery Park",1,707
"Discovery Park",2,643
"Discovery Park",3,811
"Discovery Park",4,839
"Discovery Park",5,738
"Discovery Park",6,726
"Discovery Park",7,653
"Discovery Park",8,483
"Discovery Park",9,521
"Discovery Park",10,673
"Discovery Park",11,642
"Discovery Park",12,670
"Genesee",1,129
"Genesee",2,123
"Genesee",3,122
"Genesee",4,115
"Genesee",5,122
"Genesee",6,122
"Genesee",7,155
"Genesee",8,47
"Genesee",9,109
"Genesee",10,111
"Genesee",11,106
"Genesee",12,115
"Golden Gardens",1,84
"Golden Gardens",2,65
"Golden Gardens",3,78
"Golden Gardens",4,72
"Golden Gardens",5,66
"Golden Gardens",6,72
"Golden Gardens",7,72
"Golden Gardens",8,72
"Golden Gardens",9,71
"Golden Gardens",10,78
"Golden Gardens",11,84
"Golden Gardens",12,77
"Lake Forest Park",1,31
"Lake Forest Park",2,30
"Lake Forest Park",3,29
"Lake Forest Park",4,37
"Lake Forest Park",5,38
"Lake Forest Park",6,35
"Lake Forest Park",7,35
"Lake Forest Park",8,32
"Lake Forest Park",9,31
"Lake Forest Park",10,30
"Lake Forest Park",11,29
"Lake Forest Park",12,31
"Magnuson",1,362
"Magnuson",2,387
"Magnuson",3,399
"Magnuson",4,398
"Magnuson",5,395
"Magnuson",6,370
"Magnuson",7,375
"Magnuson",8,358
"Magnuson",9,332
"Magnuson",10,323
"Magnuson",11,346
"Magnuson",12,351
"Seward Park",1,118
"Seward Park",2,109
"Seward Park",3,108
"Seward Park",4,117
"Seward Park",5,121
"Seward Park",6,104
"Seward Park",7,103
"Seward Park",8,94
"Seward Park",9,89
"Seward Park",10,96
"Seward Park",11,104
"Seward Park",12,108
